abcde,2,deabc
abc,4,cab
,0,
ab,0,ab
ab,1,ba
a,1,a
b,0,b
abc,8,bca
abc,5,bca
abc,2,bca
ibzdazvinnizdrzbwrdubqbajdlihgdgyerwoazpyvyxjgpvfsxyvmrahpknvjxgojqqcvrguxxpafuuxioo,66,dubqbajdlihgdgyerwoazpyvyxjgpvfsxyvmrahpknvjxgojqqcvrguxxpafuuxiooibzdazvinnizdrzbwr
iyysxgixxcjvifhxuphtrjuryghxxtesmbwmflwkcseqyisgurebmnvgehdfrjxizefgnghjmsonnnqmzstlvpbqwbnahvpirtpxqpavrjabjiytmigdpuxpgiegduzptroyyshigudybanxnmycguqeevjjoziillzmnuwplhnehjcekujkgaoauznsdpswgcvitysplnkpaglhayxlfnmbamwdfhgpuxoqtftvtrgczljiqfjcoaklncheemqoszb,8537,jvifhxuphtrjuryghxxtesmbwmflwkcseqyisgurebmnvgehdfrjxizefgnghjmsonnnqmzstlvpbqwbnahvpirtpxqpavrjabjiytmigdpuxpgiegduzptroyyshigudybanxnmycguqeevjjoziillzmnuwplhnehjcekujkgaoauznsdpswgcvitysplnkpaglhayxlfnmbamwdfhgpuxoqtftvtrgczljiqfjcoaklncheemqoszbiyysxgixxc
wdqxpquszhzdsjpbwelssthkbsfinsqtvabyrsghbvzjtvuyrgywbwmjkfdkimrfcumovpuizlkvhzzvkhelsrzsrgmlppncbkxecohvhrilkmehpnzslvmgmkzwgpalyyliegqtqojhafvfuloboivyaqtdludplgmczjjvltuoaumnbtcnbowuqdreocukkugtinnfridojkkyzivswnohsjioakbboiavqhtpfbdejnrudmsktyspwckeqqxytcupjzygpsbaydsrqbokqzwrzxxamfjotbhagphpsehxyfwgzlrebyxwjjlhyjxrcawheewlygxwytfeudzeconswvouwianhjedubhzakgzxiifcldxxfbagilvadsvtsezdcexbppcwtzdajxhcdqgvqtrxhbxjw,743179825,ianhjedubhzakgzxiifcldxxfbagilvadsvtsezdcexbppcwtzdajxhcdqgvqtrxhbxjwwdqxpquszhzdsjpbwelssthkbsfinsqtvabyrsghbvzjtvuyrgywbwmjkfdkimrfcumovpuizlkvhzzvkhelsrzsrgmlppncbkxecohvhrilkmehpnzslvmgmkzwgpalyyliegqtqojhafvfuloboivyaqtdludplgmczjjvltuoaumnbtcnbowuqdreocukkugtinnfridojkkyzivswnohsjioakbboiavqhtpfbdejnrudmsktyspwckeqqxytcupjzygpsbaydsrqbokqzwrzxxamfjotbhagphpsehxyfwgzlrebyxwjjlhyjxrcawheewlygxwytfeudzeconswvouw
